[0617/114523.481:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x580c001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/114523.884:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x580c001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/114524.129:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x580c001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/114524.382:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x580c001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/114610.044:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xb3c001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/114610.454:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xb3c001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/114610.686:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xb3c001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/114610.914:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xb3c001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/115304.990:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:285] ContextResult::kTransientFailure: Failed to send GpuControl.CreateCommandBuffer.
[0617/115308.842:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x399400168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/115309.687:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x399400168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/115310.128:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x399400168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/115310.528:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x399400168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/120249.123:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xdc4001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/120249.832:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xdc4001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/120250.126:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xdc4001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/120250.823:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xdc4001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/121711.653:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x64c400180800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/121712.244:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x64c400180800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/121712.512:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x64c400180800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/121712.794:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x64c400180800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/121804.422:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x673c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/121804.848:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x673c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/121805.102:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x673c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/121805.360:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x673c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/121934.168:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x49d4001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/121934.694:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x49d4001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/121934.928:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x49d4001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/121935.180:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x49d4001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/122023.300:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xbbc001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/122023.835:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xbbc001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
